State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
US,67.1,65.4,65,63.6,NA,NA,NA,NA,NA,68.8,83,88.2,93,88.8,87.6,92.7,92.7,92.1,90.1,91.5,96.3,92.3,90.3,94.7,92.5,92.9,92.6,92.4,93.4,93.9,93.6,96.2,90.7,92.2,92.8,90.8
Maine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.6,97.7,98,98.5,96,94.9,96.7,97,97.7,97.7,97.8,96.1,95.6,97,94.1,94.6,95.3,95.7,97.3,97.5,98.8,93.7,94.7
New.Hampshire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,97.6,99,98.6,98.9,93.9,98.1,99,98.6,96.7,97.7,96.3,97.8,97,96.4,99.5,94.6,98,98,97.8,97.5,97.8,97.9
Vermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4,96.7,93.7,96.2,97,94.2,94.4,93.7,98.2,98.3,98.2,96.4,95.9,96.2,92.2,96.4,96.5,96.9,94.4,91.5,92.7,94.5,98
Massachusetts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,98.1,98.7,99,97.3,94.5,95.6,97,99,97.7,99.7,99,98.3,98.4,96.7,97.7,98,97.3,98.6,98.2,97.6,99.9,96.8
Rhode.Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6,95.8,94.9,97.9,98.3,92.8,96.8,92.8,98.4,97.7,95.8,97.3,96.8,97.6,93,98,98,94.3,95.9,94.8,95.3,94.3,92.9
Connecticut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.9,99.6,97.8,98.4,98,96.3,94.8,95.7,99.2,99.7,97.5,98.5,98.4,99.6,98.7,97.5,97.5,96.7,98.2,94.8,98.9,96.4,96.5
Upstate.New.York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6,92.1,91.3,92.9,91.1,90.7,93.3,93.1,94.6,91.6,95.3,93.9,95.1,95.4,94.6,93.3,94.7,92.7,94.8,93.1,93,91.6,94
NY.City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.4,95.7,98.5,97,96,97.9,97.7,95.7,96.9,97.9,98.4,99.3,96.4,96.3,95.4,96.9,94,93.3,96,96.5,94.1,92.9,92.8
New.Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,97.5,98.1,96.6,97.8,96.2,90.1,95.7,93.4,97.6,95,96.3,95.4,95.4,95.5,94.8,95.9,94.7,97.8,97.5,96.1,95.8,95
Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3,89.9,94,91.1,91.6,94.2,94.6,93.3,95.7,97,91.8,95,90.2,97.2,92.5,96.3,92.5,91.3,93.4,91.8,96.5,91.3,88.1
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,95.1,98.2,93.1,95.8,95.8,93.6,93,97.7,96.1,97.3,95.3,98.1,96,97.1,96.8,96.5,93.3,94.1,96.2,97,90.9,96.9
Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,93.6,94.2,94.2,96.3,93.8,92.8,95.2,96.6,95.5,96.4,94.2,95.4,96.7,92.6,93.2,95.7,92.1,93.8,94.8,95.2,94.1,93.2
Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,93.5,94.7,94.8,95.5,94.3,93,96.9,95.6,97.8,97,94,94.4,95.9,96.1,97.1,95.4,94.5,93.1,93.6,94.5,97.6,96.1
