Year,US,Connecticut,Maine,Massachusetts,New.Hampshire,Rhode.Island,Vermont,New.Jersey,Upstate.New.York,NY.City,Pennsylvania,Illinois,Indiana,Michigan,Ohio,Wisconsin,Iowa,Kansas,Minnesota,Missouri,Nebraska,North.Dakota,South.Dakota,Delaware,District.of.Columbia,Florida,Georgia,Maryland,North.Carolina,South.Carolina,Virginia,West.Virginia,Alabama,Kentucky,Mississippi,Tennessee,Arkansas,Louisiana,Oklahoma,Texas,Arizona,Colorado,Idaho,Montana,Nevada,New.Mexico,Utah,Wyoming,Alaska,California,Hawaii,Oregon,Washington
1982,1895,5,4,32,12,11,2,26,322,53,204,164,35,32,98,41,9,14,34,17,1,0,6,9,0,59,43,80,51,16,29,15,5,7,16,26,7,24,9,79,27,36,12,1,0,8,4,4,0,115,28,27,36
1983,2463,7,5,40,10,5,8,17,119,61,251,179,60,43,158,75,9,130,49,23,5,3,8,5,5,57,70,39,34,14,50,9,5,14,5,8,28,11,348,95,32,138,16,2,1,13,31,6,4,125,3,10,20
1984,2276,6,2,22,17,4,25,12,109,20,56,29,259,31,79,114,15,55,16,23,17,0,8,2,0,91,20,59,37,2,19,11,2,2,4,7,24,12,247,60,27,49,7,20,2,13,7,6,5,163,102,31,326
1985,3589,13,9,49,111,23,4,12,134,26,92,86,224,54,120,382,34,31,131,35,11,10,11,2,0,75,102,328,40,3,21,5,30,9,4,27,18,20,207,379,49,110,30,10,0,15,60,1,30,242,24,54,92
1986,4195,27,1,82,83,7,5,20,153,10,52,51,40,36,169,111,19,1229,50,32,10,6,14,226,0,82,136,166,88,18,56,28,25,5,1,18,24,16,134,112,78,84,53,23,4,29,44,4,5,299,51,16,163
1987,2823,31,33,153,78,5,4,25,184,13,105,21,38,53,127,104,58,17,17,46,1,17,4,4,0,53,50,26,123,8,58,38,25,2,6,23,15,56,172,111,41,86,91,8,0,13,15,5,4,217,245,84,110
1988,3450,22,24,211,47,17,5,32,242,12,66,97,82,38,60,78,35,6,102,25,0,11,5,7,1,72,40,43,71,1,29,10,62,9,4,35,44,21,71,158,492,75,370,4,2,54,44,2,8,270,50,53,131
1989,4157,25,27,307,30,21,11,23,180,16,127,198,87,48,147,211,16,12,71,141,9,5,4,1,3,95,55,82,79,33,37,36,80,35,10,119,35,38,66,366,400,110,75,43,1,33,26,0,1,336,27,18,201
1990,4570,31,19,366,68,10,8,37,342,21,210,354,147,87,246,223,20,27,54,116,11,5,2,12,15,59,50,97,78,14,25,32,65,21,8,53,38,37,74,158,77,131,59,36,3,18,40,1,18,467,130,123,227
1991,2719,25,54,207,17,0,5,15,177,22,66,74,66,37,106,123,26,12,96,83,9,4,4,0,2,59,56,61,41,15,24,9,49,0,6,38,17,14,49,143,77,148,29,6,1,47,45,3,15,259,61,68,149
1992,4083,50,13,443,192,6,32,60,173,24,148,54,64,16,119,490,11,34,141,120,14,15,17,8,1,57,28,47,43,10,18,9,20,14,3,10,17,18,52,161,132,111,46,9,2,103,45,0,18,521,56,47,241
1993,6586,102,20,408,168,14,122,85,373,116,417,434,178,116,523,376,38,24,393,144,14,5,8,11,14,104,56,133,199,73,75,8,65,38,11,183,18,14,86,121,70,187,101,11,5,43,45,2,5,619,14,106,91
1994,4617,44,21,534,107,8,46,15,254,224,202,111,97,96,162,149,23,18,142,45,14,5,26,3,11,109,37,74,140,14,37,6,35,60,12,22,33,15,38,160,122,228,172,12,3,35,37,0,0,594,19,106,140
1995,5137,34,47,492,70,7,81,20,253,67,129,155,76,103,175,158,11,23,238,63,14,8,12,10,8,94,30,49,137,28,31,1,38,27,3,209,59,22,44,217,164,149,116,9,119,148,37,1,1,531,61,67,491
1996,7796,49,55,1245,197,40,280,31,533,61,327,192,128,59,289,169,32,14,433,74,15,1,4,26,4,100,35,278,186,49,108,7,26,142,10,24,14,15,21,151,33,336,115,37,41,64,26,8,3,780,35,64,830
1997,6564,36,26,582,150,19,283,14,214,78,197,155,104,71,165,219,207,33,547,80,16,2,5,1,3,90,18,119,118,32,59,6,34,74,11,40,62,21,60,233,45,415,570,18,51,198,29,7,16,483,19,48,481
1998,7405,54,5,805,149,21,80,29,352,54,260,173,185,71,299,191,78,105,439,59,21,46,8,5,1,66,38,66,112,29,56,7,27,95,6,40,93,13,33,288,241,357,263,17,41,100,297,8,15,1085,26,89,407
1999,7288,35,33,649,116,49,96,19,1020,61,219,140,90,74,322,117,111,56,281,75,9,31,8,8,1,113,52,124,104,27,65,6,21,49,3,45,26,9,43,152,139,313,146,2,14,155,58,2,5,1144,51,61,739
2000,7867,54,46,1411,159,28,254,56,385,90,288,133,153,127,389,140,67,42,575,97,28,9,11,9,3,67,52,133,129,63,134,3,20,63,4,45,44,21,60,327,143,488,64,35,15,91,47,4,21,631,41,110,458
2001,7580,24,22,537,31,9,113,23,175,59,198,194,116,149,327,199,139,31,308,107,8,11,5,0,1,29,23,53,75,34,272,6,37,96,5,70,858,12,43,615,690,389,171,54,41,137,78,1,16,706,42,57,184
2002,9771,30,21,602,78,22,172,34,442,24,194,231,183,62,441,180,157,63,429,147,9,9,8,4,2,53,29,68,46,48,168,35,37,103,9,124,488,7,135,1240,717,465,151,10,48,200,115,11,7,1120,30,188,575
2003,11647,77,91,1670,119,55,71,188,1067,150,352,321,104,140,328,697,166,46,207,208,16,7,7,9,4,113,36,94,144,208,219,28,19,53,15,83,92,11,106,670,211,372,82,5,35,78,127,130,67,1255,12,438,844
2004,25827,67,196,1698,134,53,180,223,1969,196,560,1554,364,303,766,5641,1066,250,1368,595,97,757,169,16,13,132,28,159,101,206,400,51,49,98,17,173,95,23,120,1184,278,1184,66,84,53,158,276,35,14,1109,30,627,842
2005,25616,85,55,1167,186,53,90,192,656,111,514,922,396,321,1185,1089,1106,542,1571,656,295,168,183,16,11,208,48,219,127,405,363,53,82,155,62,217,321,51,127,2224,1108,1383,220,586,50,196,618,53,159,3182,163,619,1047
2006,15632,126,174,1238,226,101,110,301,1083,112,587,588,280,632,644,221,345,310,320,308,101,43,26,3,6,228,102,152,334,199,221,66,106,59,37,172,112,24,64,954,508,710,88,115,71,147,779,83,91,1749,87,112,377
2007,10454,89,83,1178,80,59,63,229,549,150,386,199,68,292,609,327,150,104,393,118,70,14,60,11,9,211,37,118,330,102,128,32,91,33,255,84,173,21,58,1051,210,307,45,53,37,74,387,24,89,590,19,123,482
2008,13278,55,49,800,49,87,12,246,456,114,495,628,270,317,845,192,257,106,1034,561,277,25,67,18,7,314,115,164,94,147,198,11,69,183,105,116,197,95,100,2046,218,161,40,84,28,94,242,18,277,534,20,181,460
2009,16858,56,80,358,76,45,11,244,265,98,615,648,392,900,1096,170,235,240,1121,1015,141,30,58,13,7,497,223,148,220,262,222,40,305,226,75,197,369,149,117,3358,277,231,99,61,24,85,220,22,59,869,46,252,291
2010,27550,107,53,284,23,44,18,169,721,111,979,1057,747,1564,1807,583,697,182,1140,604,214,58,29,15,16,328,247,139,343,392,384,166,206,303,106,233,245,50,198,2848,546,540,187,121,38,144,352,12,45,7195,67,286,607
2011,18719,68,205,271,170,62,94,312,928,323,742,1509,367,691,767,1192,232,145,658,438,56,70,37,29,9,312,179,123,198,156,399,101,143,179,49,110,80,31,68,961,867,416,192,134,34,273,645,13,27,2319,59,314,962
2012,48277,182,737,648,269,113,645,1395,2715,456,1945,2026,441,845,893,6880,1736,887,4142,815,240,214,70,57,26,575,318,369,612,224,625,85,212,666,77,305,248,72,154,2218,1130,1494,235,549,112,924,1591,62,353,795,73,906,4916
2013,28639,61,332,349,131,160,114,406,722,142,633,785,616,988,1464,1258,308,405,865,559,232,87,67,57,42,732,317,213,583,218,418,19,200,383,59,247,466,214,255,3985,1440,1418,237,663,181,613,1308,75,317,2011,50,486,748
2014,32971,100,557,308,84,108,42,387,901,122,813,764,492,1424,1463,1515,222,431,950,558,366,52,110,205,22,719,408,203,752,170,505,18,285,300,68,330,286,90,142,2576,517,1282,367,494,144,370,940,62,169,8723,38,416,601
2015,20762,74,281,251,41,27,49,491,616,436,888,718,223,475,827,755,173,421,598,266,515,43,17,20,11,339,244,134,443,171,369,80,160,184,12,186,59,55,88,1504,580,913,194,230,112,242,498,29,105,3597,47,589,1382
2016,17972,96,259,202,60,91,290,566,663,304,1591,1034,178,416,1001,1443,161,161,1015,357,152,44,14,15,11,334,190,135,296,132,225,26,176,463,6,140,69,65,184,1286,287,716,83,21,36,160,265,21,158,1509,55,192,618
2017,18975,76,410,408,75,84,108,465,543,148,985,689,382,744,865,754,161,203,730,412,98,50,9,9,22,358,234,107,427,191,296,13,231,449,35,222,225,87,207,1765,420,671,89,106,92,197,446,18,59,2576,39,245,740
