Year,State,Births,Deaths,Pop
1982,Alabama,59229,35002,3925924
1982,Alaska,11146,1785,451672
1982,Arizona,52404,21969,2896090
1982,Arkansas,34325,22419,2294665
1982,California,429918,188471,24870183
1982,Colorado,55202,19649,3068025
1982,Connecticut,40143,26838,3141181
1982,Delaware,9526,5104,599565
1982,District.of.Columbia,19828,6713,636098
1982,Florida,144182,108584,10487366
1982,Georgia,91990,44179,5652656
1982,Hawaii,18734,5188,995925
1982,Idaho,19288,6957,973832
1982,Illinois,180228,100501,11432454
1982,Indiana,84014,46630,5468160
1982,Iowa,45427,26890,2887872
1982,Kansas,39910,21804,2403605
1982,Kentucky,57147,32990,3683426
1982,Louisiana,84640,35776,4359915
1982,Maine,16055,10472,1137158
1982,Maryland,57184,34098,4288914
1982,Massachusetts,77451,52946,5777189
1982,Michigan,137128,75694,9116004
1982,Minnesota,68995,32978,4134565
1982,Mississippi,45537,23283,2558332
1982,Missouri,78334,48277,4932516
1982,Montana,14236,6631,804762
1982,Nebraska,27243,14577,1583033
1982,Nevada,14400,6368,882729
1982,New.Hampshire,14147,7616,948559
1982,New.Jersey,95575,67621,7436116
1982,New.Mexico,27203,9248,1366486
1982,New.York,248145,167405,17606044
1982,North.Carolina,86603,48551,6022244
1982,North.Dakota,13622,5390,669903
1982,Ohio,165263,94473,10761581
1982,Oklahoma,57230,29350,3213698
1982,Oregon,42093,21614,2664744
1982,Pennsylvania,163198,118817,11853261
1982,Rhode.Island,13032,8988,954795
1982,South.Carolina,49287,25070,3209765
1982,South.Dakota,12722,6595,691342
1982,Tennessee,71089,40292,4646503
1982,Texas,303016,111319,15366008
1982,Utah,42761,8515,1559272
1982,Vermont,7766,4490,519544
1982,Virginia,77830,41904,5498214
1982,Washington,68988,32300,4280029
1982,West.Virginia,27937,18994,1948421
1982,Wisconsin,73932,40281,4731560
1982,Wyoming,10174,3191,507270
1982,US,3685457,1974797,231899175
1983,Alabama,58105,35560,3933838
1983,Alaska,11868,1897,490111
1983,Arizona,53466,22593,2974479
1983,Arkansas,34261,23154,2305943
1983,California,436096,188442,25398443
1983,Colorado,55015,19549,3137512
1983,Connecticut,40954,27246,3164200
1983,Delaware,9544,5012,605660
1983,District.of.Columbia,19066,6764,634223
1983,Florida,148677,113195,10764476
1983,Georgia,91704,46005,5729765
1983,Hawaii,19164,5482,1014687
1983,Idaho,18480,7241,981166
1983,Illinois,175648,102438,11411820
1983,Indiana,80813,47747,5448436
1983,Iowa,43840,27528,2869260
1983,Kansas,39409,21931,2416834
1983,Kentucky,53854,34224,3692888
1983,Louisiana,82454,36409,4398962
1983,Maine,16047,10929,1145063
1983,Maryland,57930,35056,4317920
1983,Massachusetts,77750,54291,5804093
1983,Michigan,131837,76684,9044768
1983,Minnesota,65976,33937,4140847
1983,Mississippi,43689,23942,2567091
1983,Missouri,77061,49525,4945152
1983,Montana,13739,6713,813994
1983,Nebraska,26599,14718,1584550
1983,Nevada,14166,6378,902325
1983,New.Hampshire,13680,7973,958516
1983,New.Jersey,96130,69289,7472553
1983,New.Mexico,27122,9205,1396135
